Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Bangladesh,BGD,"Population, total",SP.POP.TOTL,111633717,134544304,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364,..
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.9903336888239,1.82732806740512,0.892432416039535,0.850917315689336,0.820955197842845,0.84641125179804,0.836310836229073,0.814977993693211,1.02423384746683,1.22171475464107,1.21462115417186,..
Bangladesh,BGD,Surface area (sq. km),AG.SRF.TOTL.K2,148460,148460,147630,147977,147570,147570,147570,147570,147570,147570,..,..
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,857.599423830376,1033.6045478989,1235.3993393255,1245.95641852962,1256.22726434662,1266.90523930245,1277.54493354844,1287.99918568026,1300.36002610164,1319.17979689183,..,..
Bangladesh,BGD,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,48.9,24.3,..,..,..,..,..,18.7,..,..,..
Bangladesh,BGD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,41.4,19.5,..,..,..,..,..,5.9,..,..,..
Bangladesh,BGD,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,32618765050.2979,55712709024.5614,225591727898.942,266736774826.827,329854436730.53,366469040884.315,385238514893.684,435560113926.691,483370788278.341,493931963339.332,490163570995.754,..
Bangladesh,BGD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,290,410,1400,1640,2020,2220,2320,2600,2850,2880,2820,..
Bangladesh,BGD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,106551662534.896,208928912198.485,770879103187.534,819232336678.198,933669359748.506,1038098559456.84,1150025815983.89,1313226689114.99,1488102430377.47,1631145526646.7,1746416581639.85,..
Bangladesh,BGD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,950,1550,4790,5050,5710,6290,6920,7830,8790,9510,10060,..
Bangladesh,BGD,Income share held by lowest 20%,SI.DST.FRST.20,..,8.6,8.6,..,..,..,..,..,8.8,..,..,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.822,62.049,71.075,71.606,72.122,72.625,71.421,71.103,74.265,74.672,..,..
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.506,3.279,2.227,2.205,2.193,2.18,2.175,2.173,2.179,2.163,..,..
Bangladesh,BGD,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,178.305,152.641,87.837,82.215,80.415,79.151,79.184,75.962,73.128,73.179,..,..
Bangladesh,BGD,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,54.3,62.8,..,61.9,62.7017699496291,..,..,64,..,..,..
Bangladesh,BGD,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,12.1,49.8,67.8,52.7,59,..,..,..,..,..,..
Bangladesh,BGD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,146,85.4,36.9,35.2,33.7,32.4,31.5,31,30.7,30.6,..,..
Bangladesh,BGD,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,61.5,42.4,..,..,21.9,22.6,..,..,21.7,..,..,..
Bangladesh,BGD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,65,74,97,97,97,97,97,97,96,96,96,..
Bangladesh,BGD,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,109.869193724542,96.6163713445783,98.0281882152568,94.3021681436472,..
Bangladesh,BGD,"School enrollment, primary (% gross)",SE.PRM.ENRR,75.4154434204102,..,..,105.128820425409,107.18995771035,..,110.066619873047,106.334849059692,107.802066750685,103.116421399751,106.491310395865,..
Bangladesh,BGD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,19.8893508911133,46.7210006713867,64.1664546117285,62.3408639225315,65.2714888764112,65.1185413488915,66.4329548486639,66.8282318620991,67.0384586440383,65.9856598598849,64.2997191043961,..
Bangladesh,BGD,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.753639996051788,..,..,1.10079967975616,1.10387098789215,..,1.14587998390198,1.13545429706573,..,..,..,..
Bangladesh,BGD,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,..
Bangladesh,BGD,Forest area (sq. km),AG.LND.FRST.K2,19203.3,19203.281,18834,18834,18834,18834,18834,18834,18834,18834,..,..
Bangladesh,BGD,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5.9,5.6,..
Bangladesh,BGD,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,34.1619047619048,34.1619047619048,34.1619047619048,34.1619047619048,34.1619047619048,34.1619047619048,34.1619047619048,..,..,..
Bangladesh,BGD,Urban population growth (annual %),SP.URB.GROW,4.09435329632484,3.37231349221847,2.0230746254932,1.93683060952504,1.86177443141625,1.84176302855583,1.78580073795354,1.7181839550393,1.89472085102334,2.73858385406151,2.82015881681108,..
Bangladesh,BGD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,114.23933585512,135.945727032601,255.923548835134,260.880286120411,257.873889464682,273.340023331257,272.076572071717,292.487219529267,297.118356342706,..,..,..
Bangladesh,BGD,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,46.0076053904037,99.2535514546941,412.780315331328,443.212945924414,471.126089137386,515.10173042395,509.945926958218,574.118203146015,602.674747324137,..,..,..
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,31598340778.2164,53369787318.6245,265224515675.034,293732446624.596,321362752441.78,351231654603.692,373979442362.193,416271647911.014,460131689083.083,437415333018.291,450119432068.852,..
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.62225816160344,5.29329471892532,7.11347821270093,6.59024999794057,7.31941263014136,7.88191515117722,3.44801755122445,6.93867912442445,7.09982877575158,5.77511237007889,4.22325911250161,..
Bangladesh,BGD,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,6.53273529225868,3.44665934914798,27.8507377248339,5.04759758203714,5.80553876704575,3.65813755162172,3.84106338588026,4.1211747067957,5.04902187883131,6.89712404003441,6.88285460605802,..
Bangladesh,BGD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,30.4898330963098,22.7181480755923,13.4647923176039,12.9572760433733,12.4800771856196,11.9753231358984,11.9996868602485,11.6328584271282,11.2176010351595,11.0036900209598,11.1648014276903,..
Bangladesh,BGD,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,20.1456258361335,22.2793826819325,31.0691513830358,31.2482919641603,31.9828135899766,32.8525491977868,32.9115650824449,33.3160943869001,33.9200804971876,34.5942721606063,34.0971743458877,..
Bangladesh,BGD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,5.90831648660892,12.3442012279919,13.9212044814459,12.8197468906003,12.6747879443391,13.0947573353039,10.4427880616037,10.6627789004134,12.8822264348985,13.1571638341204,10.4611878291715,..
Bangladesh,BGD,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,13.0581855259296,16.9775131339119,17.4129456531683,17.179983781834,19.8398437797492,18.4832971559365,15.8286593146113,17.0612258032497,20.897740835675,17.8258075763392,16.3168879748762,..
Bangladesh,BGD,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,16.4586755151535,23.8085625731369,30.2397639179985,30.9468731155675,31.8225747704431,32.2137331126266,31.3079413414304,31.0187387357172,32.047275580905,30.9512000834944,30.7004900245244,..
Bangladesh,BGD,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,8.52279611186147,8.0712626971168,8.70480535725308,8.85578039373137,8.64089809540505,9.53881335249078,..,..,..,..
Bangladesh,BGD,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,7.31691184755758,6.99714263243688,7.73177216647423,7.63863895398449,7.00153674405437,7.64236300887138,..,..,..,..
Bangladesh,BGD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.22316502629369,1.3571191812402,1.22590049912782,1.12758125325097,1.15395749092166,1.24410082330294,1.24468950875224,1.16873060016575,0.990983394484057,0.919471499049507,0.941321120606305,..
Bangladesh,BGD,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0.207367,84.5595,93.069,98.9289,100.4,106.002,110.012,109.867,114.355,..,..
Bangladesh,BGD,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,0.242933626284075,0.426450633403232,0.539452073551698,..,..,..,..,..,..,..
Bangladesh,BGD,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,16.7382206462125,28.6154409962779,30.0371931294657,30.1931233743973,31.0387558116495,28.0245241879077,23.1052807219051,29.9494334110044,30.3476164135234,25.399201082728,25.5765452006502,..
Bangladesh,BGD,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,169.7160122356,144.5728993707,99.4,94.5,91.1,96.9,101.3,83.6,73.9,80.9,..,..
Bangladesh,BGD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,12291780361.5,15600564697.1,41569252897.7,51068283464.6,57125459320.6,62468325028.8,73550857817.1,91477590071.6,96944431751,101370771740.3,104486886261.1,..
Bangladesh,BGD,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,34.1612641943953,10.6041930098808,4.92101273972835,5.79903429874665,6.79539373258512,13.1445525906638,10.4592111139286,11.4417559557247,11.2392162165619,12.5939799449972,15.7658301164336,..
Bangladesh,BGD,Net migration,SM.POP.NETM,-404105,-512422,-918770,-1037176,-1029069,-1016796,-1002522,-994722,-549990,-549918,-473362,-402100
Bangladesh,BGD,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,778865600.6,1967528858.46792,13574285886.2472,13501933032.7096,15566241930.3078,18363859531.2811,21751646479.1934,22205503377.1199,21505473781.2512,22070041063.2115,27524564108.9817,..
Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3238781.1889563,280384629.677982,2332724780.71107,1810395803.56746,2421626238.43716,1908045387.02684,1525312160.40492,1723856464.12345,1601074338.25183,1484418066.45822,1314541323.36924,..
Bangladesh,BGD,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1788900024.41406,976340270.996094,2532818359.375,3781766845.70313,3044762207.03125,4382779785.15625,5376224609.375,5090641601.5625,5204791992.1875,5683857421.875,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
